llave_id,llave_nombre_natural,mnemotecnico_barra,nombre
8803,prog-sen-cmg-ajahuel110,BA01T002SE002T002,BA S/E ALTO JAHUEL 110KV SECCION 1
8805,prog-sen-cmg-ajahuel154,BA03T002SE002T002,BA S/E ALTO JAHUEL 154KV
8807,prog-sen-cmg-ajahuel220,BA04T002SE002T002,BA S/E ALTO JAHUEL 220KV SECCION 1
8809,prog-sen-cmg-ajahuel500,BA05T002SE002T002,BA S/E ALTO JAHUEL 500KV SECCIÓN A
8811,prog-sen-cmg-amelipilla220,BA01R003SE003R003,BA S/E ALTO MELIPILLA BARRA 220KV N° 1
8813,prog-sen-cmg-asanta110,BA02R003SE001R003,BA S/E AGUA SANTA BARRA 110KV N° 1
8815,prog-sen-cmg-asanta220,BA01R003SE001R003,BA S/E AGUA SANTA BARRA 220KV N° 1
8817,prog-sen-cmg-alfalfal220,BA03G010SE001G010,BA S/E CENTRAL ALFALFAL 220KV B1
8819,prog-sen-cmg-almendros110,BA05R002SE028R002,BA S/E LOS ALMENDROS 110KV BP1
8821,prog-sen-cmg-almendros220,BA01R002SE028R002,BA S/E LOS ALMENDROS 220KV B1
8823,prog-sen-cmg-altohospicio110,BA28L134SE016R044,
8825,prog-sen-cmg-altonorte110,BA30L134SE017L134,BA S/E ALTO NORTE 110KV
8827,prog-sen-cmg-ancoa220,BA02T002SE003T002,BA S/E ANCOA 220KV SECCION 1
8829,prog-sen-cmg-ancoa500,BA08T002SE003T002,BA S/E ANCOA 500 KV BARRA C
8831,prog-sen-cmg-ancud110,BA02T003SE002T003,BA S/E ANCUD 110KV
8833,prog-sen-cmg-andes220,BA03G212SE001G212,BA S/E ANDES 220KV-BP1
8835,prog-sen-cmg-andes345,BA06G212SE001G212,BA S/E ANDES 345KV-BP1
8837,prog-sen-cmg-angamos220,BA44G213SE020G213,BA S/E ANGAMOS 220KV BP1
8839,prog-sen-cmg-angostura220,BA01G004SE018G004,
8841,prog-sen-cmg-antofagasta110,BA46G216SE021G216,BA S/E ANTOFAGASTA 110KV BP1
8843,prog-sen-cmg-antofagasta13-8,BA47R043SE021G216,
8845,prog-sen-cmg-antuco220,BA01T002SE098T002,BA S/E ANTUCO 220KV SECCIÓN 1
8847,prog-sen-cmg-apoquindo110,BA01R002SE004R002,BA S/E APOQUINDO 110KV B1
8849,prog-sen-cmg-arica066,BA56G216SE023G216,BA S/E ARICA 66KV-BP
8851,prog-sen-cmg-arica110,BA52G216SE023G216,BA S/E ARICA 110KV
8853,prog-sen-cmg-atacama220-bp1,BA58T024SE024T024,
8855,prog-sen-cmg-atacama220-bp2,BA59T024SE024T024,
8857,prog-sen-cmg-barriles220,BA19L111SE150L111,BA S/E TAP OFF BARRILES 220KV
8859,prog-sen-cmg-batuco110,BA01R002SE005R002,BA S/E BATUCO 110KV B1
8861,prog-sen-cmg-bocamina154,BA01G021SE003G021,BA S/E BOCAMINA 154KV
8863,prog-sen-cmg-buin110,BA02R002SE007R002,BA S/E BUIN (CHILECTRA) 110KV BA1
8865,prog-sen-cmg-ccolorado110,BA67L116SE045L116,BA S/E CERRO COLORADO 110KV
8867,prog-sen-cmg-cdominador220,BA01G306SE001G306,BA S/E CERRO DOMINADOR 220KV BP
8869,prog-sen-cmg-cdragon110,BA69R044SE046R044,
8871,prog-sen-cmg-cnavia110,BA01R002SE050R002,BA S/E CERRO NAVIA (CHILECTRA) 110KV B1
8873,prog-sen-cmg-cnavia220,BA03T002SE008T002,BA S/E CERRO NAVIA 220KV SECCION 1
8875,prog-sen-cmg-cnavia220-desf,BA06T002SE008T002,BA S/E CERRO NAVIA 220KV SECCION 2
8877,prog-sen-cmg-cpabellon220,BA18G232SE001G232,BA S/E CERRO PABELLÓN 220KV - BP
8879,prog-sen-cmg-cpinto220,BA01T002SE005T002,BA S/E CARRERA PINTO 220KV SECCIÓN 1
8881,prog-sen-cmg-cachiyuyal220,BA01G180SE001G180,BA S/E CACHIYUYAL 220KV
8883,prog-sen-cmg-calama100,BA66R043SE027R043,
8885,prog-sen-cmg-calama220,BA68R043SE027R043,
8887,prog-sen-cmg-candelaria220,BA01G004SE001G004,BA S/E CANDELARIA B1 - 220KV
8889,prog-sen-cmg-canutillar220,BA03G004SE008G004,
8891,prog-sen-cmg-capricornio110,BA72G216SE028G216,BA S/E CAPRICORNIO 110KV
8893,prog-sen-cmg-capricornio220,BA74G216SE028G216,BA S/E CAPRICORNIO 220KV
8895,prog-sen-cmg-cardones110,BA01L050SE001T002,BA S/E CARDONES 110KV
8897,prog-sen-cmg-cardones220,BA03T002SE001T002,BA S/E CARDONES 220KV SECCIÓN 1
8899,prog-sen-cmg-cautin220,BA01T002SE053T002,BA S/E CAUTIN 220KV SECCION 1
8901,prog-sen-cmg-chacaya220,BA75L129SE048G216,BA S/E CHACAYA 220KV-BP1
8903,prog-sen-cmg-chapiquina066,BA89G216SE030G216,BA S/E CENTRAL CHAPIQUIÑA 66KV-BP
8905,prog-sen-cmg-charrua066,BA05T002SE009T002,BA S/E CHARRUA 66KV
8907,prog-sen-cmg-charrua154,BA02T002SE009T002,BA S/E CHARRUA 154KV SECCION 1
8909,prog-sen-cmg-charrua220,BA03T002SE009T002,BA S/E CHARRUA 220KV SECCION 1
8911,prog-sen-cmg-charrua500,BA16T002SE009T002,BA S/E CHARRUA 500 KV C
8913,prog-sen-cmg-chena110,BA03R002SE010R002,BA S/E CHENA 110KV BA1
8915,prog-sen-cmg-chena220,BA01T034SE010R002,BA S/E CHENA 220KV BP1
8917,prog-sen-cmg-chillan154,BA03T005SE024T005,BA S/E CHILLAN 66KV
8919,prog-sen-cmg-chiloe110,BA01T003SE032T003,BA S/E CHILOE PR 110KV
8921,prog-sen-cmg-chimborazo220,BA84L120SE050L120,BA S/E CHIMBORAZO 220KV BP
8923,prog-sen-cmg-chinchorro066,BA88R045SE051R045,
8925,prog-sen-cmg-cholguan066,BA02T003SE004T003,BA S/E CHOLGUAN (STS) 220KV
8927,prog-sen-cmg-cholguan220,BA02T003SE004T003,BA S/E CHOLGUAN (STS) 220KV
8929,prog-sen-cmg-chonchi110,BA01T003SE005T003,BA S/E CHONCHI 110KV
8931,prog-sen-cmg-chuquicamata100,BA89L135SE052L135,BA S/E CHUQUICAMATA 100KV BP1
8933,prog-sen-cmg-chuquicamata220,BA91L135SE052L135,BA S/E CHUQUICAMATA 220KV-BP1
8935,prog-sen-cmg-cipreses154,BA01T002SE055T002,BA S/E CIPRESES 154KV B1
8937,prog-sen-cmg-ciruelos220,BA01T002SE004T002,BA S/E CIRUELOS 220KV BARRA 1
8939,prog-sen-cmg-cochrane220,BA01G215SE001G215,BA S/E COCHRANE 220KV - BP1
8941,prog-sen-cmg-colbun220,BA02G004SE003G004,BA S/E COLBUN 220KV
8943,prog-sen-cmg-collahuasi220,BA99L117SE054L117,BA S/E COLLAHUASI 220KV-BP1
8945,prog-sen-cmg-coloso220,BA18L120SE061L120,BA S/E COLOSO 220KV - BP1
8947,prog-sen-cmg-concepcion066,BA01L011SE027L011,BA S/E CONCEPCION (FFCC) 66KV
8949,prog-sen-cmg-concepcion154,BA02T002SE012T002,BA S/E CONCEPCION 154KV SECCION 1
8951,prog-sen-cmg-conchi220,BA22G232SE002G232,BA S/E CONCHI 220KV - BP
8953,prog-sen-cmg-condores110,BA26T025SE063T025,BA S/E CONDORES 110KV
8955,prog-sen-cmg-condores220,BA28T025SE063T025,BA S/E CONDORES 220KV BP A
8957,prog-sen-cmg-constitucion066,BA02T005SE170T005,BA S/E CONSTITUCION 66KV
8959,prog-sen-cmg-coronel066,BA03T005SE142T005,BA S/E CORONEL 66KV B1
8961,prog-sen-cmg-coronel154,BA02T005SE142T005,BA S/E CORONEL 15KV B1
8963,prog-sen-cmg-crucero220,BA22T027SE062G216,BA S/E CRUCERO 220KV-BP1
8965,prog-sen-cmg-cumbres500,BA01T030SE003T030,BA S/E CUMBRES 500KV BA1
8967,prog-sen-cmg-dalmagro110,BA03T002SE014T002,BA S/E DIEGO DE ALMAGRO 220KV SECCIÓN 1
8969,prog-sen-cmg-dalmagro220,BA01T002SE014T002,BA S/E DIEGO DE ALMAGRO 110KV B1
8971,prog-sen-cmg-darica066,BA94G216SE031G216,BA S/E CENTRAL DIESEL ARICA 66KV
8973,prog-sen-cmg-diquique066,BA11G216SE034G216,BA S/E CENTRAL DIESEL IQUIQUE 66KV
8975,prog-sen-cmg-degan110,BA02T003SE029T003,BA S/E DEGAN 110KV B1
8977,prog-sen-cmg-desalant110,BA29L137SE064L105,
8979,prog-sen-cmg-dole066,,
8981,prog-sen-cmg-dolores110,BA24G216SE155G216,BA S/E TAP OFF DOLORES 110KV
8983,prog-sen-cmg-domeyko220,BA31L120SE065L120,BA S/E DOMEYKO 220KV - BP1
8985,prog-sen-cmg-dongoyo220,BA01G130SE001G130,
8987,prog-sen-cmg-donhector220,BA01T002SE010T002,BA S/E DON HECTOR 220KV-1
8989,prog-sen-cmg-donacarmen220,BA01G271SE002G271,BA S/E DOÑA CARMEN 220KV
8991,prog-sen-cmg-duqueco220,BA01T005SE034T005,BA S/E DUQUECO 220KV
8993,prog-sen-cmg-etaltal220,BA01R001SE001R001,
8995,prog-sen-cmg-elabra220,BA34L118SE066L118,BA S/E EL ABRA 220KV
